date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-02-03,6.19,6.23,6.19,6.16,25328.16,0.0,0.0,6.198,6.263,6.435,189381.52,252339.31,316607.79,0.18
2017-01-26,6.11,6.3,6.19,6.09,217597.94,0.08,1.31,6.212,6.315,6.45,223983.79,304023.79,343678.31,1.58
2017-01-20,6.18,6.18,6.11,5.98,263038.31,-0.06,-0.97,6.212,6.385,6.463,240043.43,333909.7,345677.33,1.91
2017-01-13,6.3,6.4,6.17,6.14,247230.78,-0.16,-2.53,6.23,6.461,6.486,267131.13,355699.81,349341.73,1.79
2017-01-06,6.28,6.36,6.33,6.26,193712.42,0.07,1.12,6.29,6.513,6.509,274792.23,387602.4,362576.42,1.41
2016-12-30,6.19,6.3,6.26,6.18,198339.5,0.07,1.13,6.328,6.54,6.513,315297.1,405845.86,363737.68,1.44
2016-12-23,6.2,6.31,6.19,6.14,297896.12,-0.01,-0.16,6.418,6.576,6.518,384063.78,414028.99,364446.55,2.16
2016-12-16,6.47,6.48,6.2,6.09,398476.84,-0.27,-4.17,6.558,6.617,6.529,427775.97,437837.8,372382.59,2.89
2016-12-09,6.48,6.55,6.47,6.43,285536.25,-0.05,-0.77,6.692,6.634,6.556,444268.49,415209.44,379911.25,2.07
2016-12-02,6.72,6.75,6.52,6.5,396236.81,-0.19,-2.83,6.736,6.628,6.562,500412.57,404136.67,401368.24,2.87
2016-11-25,6.73,6.81,6.71,6.61,542172.88,-0.18,-2.61,6.752,6.606,6.557,496394.61,380876.26,411903.86,3.93
2016-11-18,6.86,6.97,6.89,6.79,516457.06,0.02,0.29,6.734,6.584,6.532,443994.2,383332.83,402681.51,3.75
2016-11-11,6.68,6.92,6.87,6.66,480939.47,0.18,2.69,6.676,6.541,6.492,447899.63,357444.95,387552.27,3.49
2016-11-04,6.63,6.95,6.69,6.56,566256.62,0.09,1.36,6.576,6.511,6.459,386150.38,342983.65,377108.22,4.11
2016-10-28,6.6,6.8,6.6,6.6,376147.03,-0.02,-0.3,6.52,6.505,6.437,307860.76,337550.44,356774.71,2.73
2016-10-21,6.6,6.69,6.62,6.51,280170.84,0.02,0.3,6.46,6.486,6.427,265357.91,321629.51,355087.43,2.03
2016-10-14,6.53,6.73,6.6,6.52,535984.19,0.23,3.61,6.434,6.46,6.41,322671.46,314864.11,349971.85,3.89
2016-09-30,6.41,6.42,6.37,6.28,172193.23,-0.04,-0.62,6.406,6.441,6.391,266990.28,306927.38,335436.93,1.25
2016-09-23,6.31,6.45,6.41,6.3,174808.53,0.11,1.75,6.446,6.478,6.387,299816.92,344613.06,340681.78,1.27
2016-09-14,6.41,6.42,6.3,6.27,163632.78,-0.19,-2.93,6.49,6.495,6.394,367240.12,398599.81,346185.41,1.19
2016-09-09,6.49,6.84,6.49,6.34,566738.56,0.03,0.46,6.512,6.507,6.409,377901.1,442931.46,351205.82,4.11
2016-09-02,6.56,6.59,6.46,6.43,257578.28,-0.11,-1.67,6.486,6.479,6.415,307056.77,422030.2,344726.24,1.87
2016-08-26,6.63,6.67,6.57,6.41,336326.44,-0.06,-0.91,6.476,6.442,6.45,346864.49,417659.58,360279.67,2.44
2016-08-19,6.42,6.85,6.63,6.42,511924.53,0.22,3.43,6.51,6.406,6.468,389409.2,411232.8,376174.53,3.71
2016-08-12,6.35,6.48,6.41,6.32,216937.7,0.05,0.79,6.5,6.369,6.495,429959.51,375998.98,375752.04,1.57
2016-08-05,6.4,6.42,6.36,6.25,212516.89,-0.05,-0.78,6.502,6.368,6.537,507961.82,388545.35,418905.85,1.54
2016-07-29,6.74,6.84,6.41,6.37,456616.88,-0.33,-4.9,6.472,6.359,6.558,537003.63,385079.59,434699.66,3.31
2016-07-22,6.58,6.83,6.74,6.47,549050.0,0.16,2.43,6.408,6.34,6.552,488454.68,363946.49,428801.92,3.98
2016-07-15,6.41,6.87,6.58,6.36,714676.06,0.16,2.49,6.302,6.295,6.531,433056.39,336750.49,433947.16,5.18
2016-07-08,6.19,6.6,6.42,6.17,606949.25,0.21,3.38,6.238,6.292,6.536,322038.44,293771.01,424916.31,4.4
2016-07-01,6.05,6.28,6.21,6.04,357725.94,0.12,1.97,6.234,6.311,6.578,269128.89,259480.18,418190.57,2.59
2016-06-24,6.22,6.22,6.09,5.98,213872.14,-0.12,-1.93,6.246,6.351,6.619,233155.56,267422.28,416793.99,1.55
2016-06-17,6.2,6.26,6.21,6.06,272058.56,-0.05,-0.8,6.272,6.457,6.657,239438.29,302899.76,433861.45,1.97
2016-06-08,6.41,6.43,6.26,6.19,159586.33,-0.14,-2.19,6.288,6.53,6.711,240444.6,341116.26,457343.59,1.16
2016-06-03,6.24,6.5,6.4,6.16,342401.47,0.13,2.07,6.346,6.621,6.742,265503.57,375505.1,486022.34,2.48
2016-05-27,6.23,6.32,6.27,6.12,177859.3,0.05,0.8,6.388,6.706,6.794,249831.48,449266.34,513659.81,1.29
2016-05-20,6.3,6.43,6.22,6.12,245285.8,-0.07,-1.11,6.456,6.756,6.911,301689.0,484319.73,536880.58,1.78
2016-05-13,6.35,6.49,6.29,6.22,277090.09,-0.26,-3.97,6.642,6.764,7.059,366361.22,493657.35,613073.69,2.01
