Date,Open,High,Low,Close,Volume,Adj Close
1995-04-25,93.125,93.875,92.875,93.625,13385200,16.902284
1995-04-24,91.50,93.875,91.00,93.50,17275600,16.879718
1995-04-21,89.375,92.00,89.125,91.625,23545600,16.541221
1995-04-20,89.625,90.375,88.625,89.00,23990800,16.067325
1995-04-19,87.875,88.25,86.00,87.125,10305600,15.728828
1995-04-18,88.125,88.50,87.125,88.25,7875200,15.931926
1995-04-17,87.00,88.50,86.875,87.875,8758400,15.864227
1995-04-13,86.875,87.375,86.125,86.375,5525600,15.593429
1995-04-12,86.50,87.625,86.125,87.125,7612800,15.728828
1995-04-11,85.875,86.875,85.625,86.75,10324000,15.661128
1995-04-10,84.00,86.00,84.00,86.00,8462400,15.52573
1995-04-07,83.75,85.125,83.50,84.00,9713200,15.164666
1995-04-06,84.375,84.625,83.625,83.875,5946000,15.1421
1995-04-05,82.875,84.125,82.875,84.00,8033200,15.164666
1995-04-04,83.125,83.625,82.50,83.00,6738400,14.984134
1995-04-03,82.25,83.50,82.25,82.875,7576400,14.961568
1995-03-31,82.125,83.50,81.375,82.125,10472000,14.826169
1995-03-30,83.125,83.375,81.75,82.375,11828400,14.871302
1995-03-29,84.25,84.75,82.50,83.00,11885600,14.984134
1995-03-28,84.875,84.875,84.25,84.50,5412000,15.254932
1995-03-27,83.875,85.125,83.875,85.00,8114000,15.345198
1995-03-24,83.625,84.375,83.50,83.625,10318000,15.096967
1995-03-23,81.50,83.375,81.50,83.375,11056400,15.051834
1995-03-22,82.125,82.625,81.25,81.625,9788800,14.735903
1995-03-21,83.50,84.00,82.125,82.25,7956000,14.848736
1995-03-20,82.75,84.00,82.50,83.50,7368800,15.0744
1995-03-17,83.50,83.625,82.625,82.625,11869600,14.916435
1995-03-16,81.75,83.625,81.625,83.50,11382800,15.0744
1995-03-15,81.25,82.25,81.25,81.75,7084800,14.75847
1995-03-14,82.25,82.75,81.50,81.50,9067600,14.713337
1995-03-13,81.50,83.00,81.50,82.00,13964800,14.803603
1995-03-10,80.875,81.625,80.375,81.125,9492400,14.645637
1995-03-09,80.375,81.375,80.375,80.625,12513600,14.555372
1995-03-08,79.75,80.00,78.50,79.75,12133200,14.397406
1995-03-07,80.375,80.875,79.375,79.75,13802400,14.397406
1995-03-06,79.50,81.25,79.50,80.25,20173200,14.487672
1995-03-03,77.125,80.00,77.00,79.875,22256000,14.419973
1995-03-02,75.375,77.375,75.375,77.25,9643200,13.946077
1995-03-01,75.125,76.375,75.125,75.375,8202000,13.60758
1995-02-28,74.00,75.25,74.00,75.25,7198000,13.585013
1995-02-27,74.625,75.375,73.75,74.00,8212800,13.359349
1995-02-24,74.25,75.375,74.25,74.875,6254400,13.517314
1995-02-23,74.75,75.75,74.125,74.25,8826400,13.404482
1995-02-22,74.25,74.50,74.125,74.25,6864000,13.404482
1995-02-21,75.00,75.125,74.125,74.25,6228000,13.404482
1995-02-17,75.75,75.75,74.75,75.00,11672000,13.539881
1995-02-16,75.875,76.25,75.50,75.50,6809600,13.630146
1995-02-15,75.625,75.875,75.125,75.625,6506800,13.652713
1995-02-14,75.00,75.625,74.625,75.625,6785600,13.652713
1995-02-13,75.125,75.375,74.75,74.875,4887200,13.517314
1995-02-10,75.125,75.75,75.00,75.00,6156000,13.539881
1995-02-09,74.25,75.25,74.25,75.00,7896000,13.539881
1995-02-08,74.125,74.875,74.125,74.25,5985600,13.404482
1995-02-07,74.25,74.375,73.875,74.25,5802800,13.404482
1995-02-06,74.375,74.875,74.125,74.375,5408400,13.427048
1995-02-03,74.875,75.25,74.50,74.625,10251200,13.427048
1995-02-02,73.625,74.375,73.50,74.375,5834400,13.382067
1995-02-01,72.375,73.875,72.25,73.625,13168000,13.247121
